2002,286
2003,295
2004,295
2005,332
2006,376
2007,431
2008,472
2009,480
2010,491
2011,523
2012,605
2013,744
2014,811
2015,"1,200"
2016,"1,288"
2017,"1,537"
2018,"1,645"
2019,"1,776"
