2001,207
2002,223
2003,248
2004,265
2005,302
2006,326
2007,353
2008,372
2009,379
2010,367
2011,369
2012,393
2013,509
2014,634
2015,"1,106"
2016,"1,245"
2017,"1,355"
2018,"1,651.5"
2019,"1,868"
